,accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0,0000320193-21-000060,2021-05-05,2021-05-03,2021-05-05T18:31:41.000Z,,4,,,,8930,0,0,xslF345X03/wf-form4_162025388592461.xml,FORM 4
1,0000320193-21-000059,2021-05-05,2021-05-03,2021-05-05T18:30:33.000Z,,4,,,,8956,0,0,xslF345X03/wf-form4_162025381465785.xml,FORM 4
2,0000320193-21-000056,2021-04-29,2021-03-27,2021-04-28T18:02:54.000Z,34,10-Q,001-36743,21866148,,8468959,1,1,aapl-20210327.htm,10-Q
3,0000320193-21-000055,2021-04-28,2021-04-28,2021-04-28T16:30:33.000Z,34,8-K,001-36743,21864681,"2.02,9.01",517025,1,1,aapl-20210428.htm,8-K
4,0000320193-21-000050,2021-04-19,2021-04-15,2021-04-19T18:31:41.000Z,,4,,,,13380,0,0,xslF345X03/wf-form4_161887148361718.xml,FORM 4
5,0000320193-21-000049,2021-04-19,2021-04-15,2021-04-19T18:30:35.000Z,,4,,,,16126,0,0,xslF345X03/wf-form4_161887141797206.xml,FORM 4
6,0000320193-21-000046,2021-04-05,2021-04-01,2021-04-05T18:36:12.000Z,,4,,,,15843,0,0,xslF345X03/wf-form4_161766207883637.xml,FORM 4
7,0000320193-21-000045,2021-04-05,2021-04-01,2021-04-05T18:33:59.000Z,,4,,,,13629,0,0,xslF345X03/wf-form4_161766194119040.xml,FORM 4
8,0000320193-21-000044,2021-04-05,2021-04-01,2021-04-05T18:31:35.000Z,,4,,,,8730,0,0,xslF345X03/wf-form4_161766181877540.xml,FORM 4
9,0000320193-21-000040,2021-02-25,2021-02-23,2021-02-25T18:37:44.000Z,,4,,,,5713,0,0,xslF345X03/wf-form4_161429622893015.xml,FORM 4
10,0000320193-21-000039,2021-02-25,2021-02-23,2021-02-25T18:36:06.000Z,,4,,,,5716,0,0,xslF345X03/wf-form4_161429614827041.xml,FORM 4
11,0000320193-21-000038,2021-02-25,2021-02-23,2021-02-25T18:35:13.000Z,,4,,,,5592,0,0,xslF345X03/wf-form4_161429609463628.xml,FORM 4
12,0000320193-21-000037,2021-02-25,2021-02-23,2021-02-25T18:34:22.000Z,,4,,,,5739,0,0,xslF345X03/wf-form4_161429604194177.xml,FORM 4
13,0000320193-21-000036,2021-02-25,2021-02-23,2021-02-25T18:33:23.000Z,,4,,,,5704,0,0,xslF345X03/wf-form4_161429598243346.xml,FORM 4
14,0000320193-21-000035,2021-02-25,2021-02-23,2021-02-25T18:32:20.000Z,,4,,,,5712,0,0,xslF345X03/wf-form4_161429591861303.xml,FORM 4
15,0000320193-21-000034,2021-02-25,2021-02-23,2021-02-25T18:31:08.000Z,,4,,,,5720,0,0,xslF345X03/wf-form4_161429585074371.xml,FORM 4
16,0001193125-21-054710,2021-02-24,2021-02-23,2021-02-24T16:31:21.000Z,34,8-K,001-36743,21673802,5.07,314778,1,1,d101693d8k.htm,8-K
17,0001214659-21-002046,2021-02-18,,2021-02-18T09:00:11.000Z,34,PX14A6G,001-36743,21647782,,5561,0,0,r217211px14a6g.htm,
18,0001193125-21-044816,2021-02-16,,2021-02-16T16:02:01.000Z,34,SC 13G/A,005-33632,21637837,,649123,0,0,d107461dsc13ga.htm,SC 13G/A
19,0001193125-21-036337,2021-02-10,,2021-02-10T16:31:02.000Z,34,SD,001-36743,21614325,,739227,0,0,d119389dsd.htm,FORM SD
20,0001104659-21-017199,2021-02-10,,2021-02-10T10:02:31.000Z,34,SC 13G/A,005-33632,21609778,,13927,0,0,tv0010-appleinc.htm,SCHEDULE 13G/A
21,0001193125-21-032394,2021-02-08,2021-02-01,2021-02-08T16:31:03.000Z,34,8-K,001-36743,21601830,"8.01,9.01",875217,1,1,d70217d8k.htm,8-K
22,0000834237-21-007542,2021-02-05,,2021-02-05T08:03:26.000Z,34,SC 13G/A,005-33632,21593732,,13732,0,0,us0378331005_020421.txt,
23,0000320193-21-000026,2021-02-03,2021-02-01,2021-02-03T18:39:29.000Z,,4,,,,10198,0,0,xslF345X03/wf-form4_161239555356050.xml,FORM 4
